Time,Power,Class
1,0.072,washing machine
2,0.108,washing machine
3,0.135,washing machine
4,0.195,washing machine
5,0.21,washing machine
6,0.201,washing machine
7,0.207,washing machine
8,0.147,washing machine
9,0.153,washing machine
10,0.165,washing machine
11,0.186,washing machine
12,0.132,washing machine
13,0.135,washing machine
14,0.204,washing machine
15,0.168,washing machine
16,0.123,washing machine
17,0.108,washing machine
18,0.186,washing machine
19,0.21,washing machine
20,0.111,washing machine
21,0.117,washing machine
22,0.078,washing machine
23,0.165,washing machine
24,0.078,washing machine
25,0.165,washing machine
26,0.138,washing machine
27,0.147,washing machine
28,0.189,washing machine
29,0.138,washing machine
30,0.147,washing machine
31,0.141,washing machine
32,0.108,washing machine
33,0.177,washing machine
34,0.129,washing machine
35,0.126,washing machine
36,0.177,washing machine
37,0.159,washing machine
38,0.156,washing machine
39,0.147,washing machine
40,0.258,washing machine
41,0.096,washing machine
42,0.132,washing machine
43,0.258,washing machine
44,0.273,washing machine
45,0.057,washing machine
46,0.117,washing machine
47,0.129,washing machine
48,0.108,washing machine
49,0.123,washing machine
50,0.168,washing machine
51,0.216,washing machine
52,0.057,washing machine
53,0.168,washing machine
54,0.285,washing machine
55,0.246,washing machine
56,0.33,washing machine
57,0.198,washing machine
58,0.144,washing machine
59,0.189,washing machine
60,0.162,washing machine
61,0.177,washing machine
62,0.186,washing machine
63,0.207,washing machine
64,0.135,washing machine
65,0.144,washing machine
66,0.207,washing machine
67,0.09,washing machine
68,0.123,washing machine
69,0.09,washing machine
70,0.255,washing machine
71,0.168,washing machine
72,0.36,washing machine
73,0.351,washing machine
74,0.321,washing machine
75,0.186,washing machine
76,0.171,washing machine
77,0.171,washing machine
78,0.165,washing machine
79,0.177,washing machine
80,0.222,washing machine
81,0.201,washing machine
82,0.216,washing machine
83,0.234,washing machine
84,0.204,washing machine
85,0.039,washing machine
86,0.075,washing machine
87,0,None
88,0.048,washing machine
89,0.108,washing machine
90,0.153,washing machine
91,0.237,washing machine
92,0.27,washing machine
93,0.849,washing machine
94,1.371,washing machine
95,1.233,washing machine
96,1.176,washing machine
97,1.227,washing machine
98,1.227,washing machine
99,0.309,washing machine
100,0.198,washing machine
101,0.189,washing machine
102,0.174,washing machine
103,0.123,washing machine
104,0.252,washing machine
105,0.141,washing machine
106,0.177,washing machine
107,0.204,washing machine
108,0.111,washing machine
109,0.09,washing machine
110,0.084,washing machine
111,0.138,washing machine
112,0.144,washing machine
113,0.243,washing machine
114,0.183,washing machine
115,0.132,washing machine
116,0.105,washing machine
117,0.087,washing machine
118,0.138,washing machine
119,0.234,washing machine
120,0.186,washing machine
121,0.234,washing machine
122,0.066,washing machine
123,0.129,washing machine
124,0.243,washing machine
125,0.195,washing machine
126,0.144,washing machine
127,0.198,washing machine
128,0.198,washing machine
129,0.183,washing machine
130,0.117,washing machine
131,0.177,washing machine
132,0.297,washing machine
133,0.327,washing machine
134,0.24,washing machine
135,0.117,washing machine
136,0.294,washing machine
137,0.192,washing machine
138,0.201,washing machine
139,0.174,washing machine
140,0.186,washing machine
141,0.219,washing machine
142,0.084,washing machine
143,0.186,washing machine
144,0.312,washing machine
145,0.471,washing machine
146,0.366,washing machine
147,0.126,washing machine
148,0.147,washing machine
149,0.201,washing machine
150,0.12,washing machine
151,0.165,washing machine
152,0.195,washing machine
153,0.138,washing machine
154,0.222,washing machine
155,0.126,washing machine
156,0.102,washing machine
157,0.147,washing machine
158,0.195,washing machine
159,0.111,washing machine
160,0.327,washing machine
161,0.468,washing machine
162,0.345,washing machine
163,0.081,washing machine
164,0.174,washing machine
165,0.189,washing machine
166,0.162,washing machine
167,0.258,washing machine
168,0.237,washing machine
169,0.339,washing machine
170,0.33,washing machine
171,0.261,washing machine
172,0.045,washing machine
173,0.078,washing machine
174,0,None
175,0.051,washing machine
176,0.036,washing machine
177,0.147,washing machine
178,0.12,washing machine
179,0.093,washing machine
180,0.069,washing machine
181,0.087,washing machine
182,0.093,washing machine
183,0.192,washing machine
184,0.075,washing machine
185,0.084,washing machine
186,0.018,washing machine
187,0.057,washing machine
188,0.177,washing machine
189,0.237,washing machine
190,0.15,washing machine
191,0.147,washing machine
192,0.288,washing machine
193,0.339,washing machine
194,0.411,washing machine
195,0.327,washing machine
196,0.033,washing machine
197,0.051,washing machine
198,0,None
199,0.084,washing machine
200,0.117,washing machine
201,0.279,washing machine
202,0.285,washing machine
203,0.153,washing machine
204,0.27,washing machine
205,0.192,washing machine
206,0.126,washing machine
207,0.075,washing machine
208,0.198,washing machine
209,0.12,washing machine
210,0.237,washing machine
211,0.138,washing machine
212,0.159,washing machine
213,0.219,washing machine
