Time,Power
1,0.072
2,0.108
3,0.135
4,0.195
5,0.21
6,0.201
7,0.207
8,0.147
9,0.153
10,0.165
11,0.186
12,0.132
13,0.135
14,0.204
15,0.168
16,0.123
17,0.108
18,0.186
19,0.21
20,0.111
21,0.117
22,0.078
23,0.165
24,0.078
25,0.165
26,0.138
27,0.147
28,0.189
29,0.138
30,0.147
31,0.141
32,0.108
33,0.177
34,0.129
35,0.126
36,0.177
37,0.159
38,0.156
39,0.147
40,0.258
41,0.096
42,0.132
43,0.258
44,0.273
45,0.057
46,0.117
47,0.129
48,0.108
49,0.123
50,0.168
51,0.216
52,0.057
53,0.168
54,0.285
55,0.246
56,0.33
57,0.198
58,0.144
59,0.189
60,0.162
61,0.177
62,0.186
63,0.207
64,0.135
65,0.144
66,0.207
67,0.09
68,0.123
69,0.09
70,0.255
71,0.168
72,0.36
73,0.351
74,0.321
75,0.186
76,0.171
77,0.171
78,0.165
79,0.177
80,0.222
81,0.201
82,0.216
83,0.234
84,0.204
85,0.039
86,0.075
