Time,Device,Power
1,Standby Charger,0.03
2,Standby Charger,0.045
3,Standby Charger,0.048
4,Standby Charger,0.042
5,Standby Charger,0.048
6,Standby Charger,0.054
7,Standby Charger,0.051
8,Standby Charger,0.051
9,Standby Charger,0.048
10,Standby Charger,0.048
11,Standby Charger,0.045
12,Standby Charger,0.045
13,Standby Charger,0.042
14,Standby Charger,0.048
15,Standby Charger,0.045
16,Standby Charger,0.039
17,Standby Charger,0.036
18,Standby Charger,0.033
19,Standby Charger,0.033
20,Standby Charger,0.03
21,Standby Charger,0.03
22,Standby Charger,0.03
23,Standby Charger,0.033
24,Standby Charger,0.03
25,Standby Charger,0.027
26,Standby Charger,0.033
27,Standby Charger,0.033
28,Standby Charger,0.033
29,Standby Charger,0.045
30,Standby Charger,0.045
31,Standby Charger,0.045
32,Standby Charger,0.045
33,Standby Charger,0.048
34,Standby Charger,0.048
35,Standby Charger,0.048
36,Standby Charger,0.045
37,Standby Charger,0.045
38,Standby Charger,0.048
39,Standby Charger,0.045
40,Standby Charger,0.045
41,Standby Charger,0.045
42,Standby Charger,0.045
43,Standby Charger,0.045
44,Standby Charger,0.048
45,Standby Charger,0.042
46,Standby Charger,0.048
47,Standby Charger,0.048
48,Standby Charger,0.045
49,Standby Charger,0.048
50,Standby Charger,0.048
51,Standby Charger,0.048
52,Standby Charger,0.045
53,Standby Charger,0.045
54,Standby Charger,0.042
55,Standby Charger,0.039
56,Standby Charger,0.042
57,Standby Charger,0.039
58,Standby Charger,0.039
59,Standby Charger,0.039
60,Standby Charger,0.039
61,Standby Charger,0.045
62,Standby Charger,0.036
63,Standby Charger,0.042
64,Standby Charger,0.033
